差不注ワード,注記
暗黒大陸,差別用語/人種民族差別(差不注DB)
汚わい屋,➡清掃員、衛生作業員/職業差別(差不注DB)
河原乞食,差別用語/部落差別(差不注DB)
花売り女,要注意（軽視的表現）/職業、性(QC資料)
頑張り屋,OK/人格(QC資料)
帰化鮮人,差別用語/地域差別(差不注DB)
気がふれ,差別用語/障害(QC資料)
気が狂う,差別用語/障害(QC資料)
気が狂っ,差別用語/障害者差別(差不注DB)
気取り屋,OK/人格(QC資料)
靴磨き屋,要注意（軽視的表現）/職業(QC資料)
血を分け,要注意（慣用されてきた表現）/身分(QC資料)
五体満足,差別用語/障害(QC資料)
乞食坊主,要注意（軽視的表現）/職業(QC資料)
合いの子,差別用語/人種民族差別(差不注DB)
黒い大陸,差別用語/人種民族差別(差不注DB)
細民部落,歴史語/部落差別(差不注DB)
三韓征伐,差別用語/地域差別(差不注DB)
仕立て屋,OK/職業(QC資料)
士農工商,要注意/部落差別(差不注DB)
処女航海,差別用語/性差別(差不注DB)
処女出版,差別用語/性差別(差不注DB)
処女作,差別用語/性差別(差不注DB)
女々しい,差別用語/性差別(差不注DB)
キチガイ,差別用語/障害者差別(差不注DB)
きちがい,差別用語/障害者差別(差不注DB)
鉦たたき,歴史語/部落差別(差不注DB)
人種主義,差別用語/人種民族差別(差不注DB)
精神薄弱,差別用語/障害者差別(差不注DB)
他力本願,要注意/宗教差別(差不注DB)
貸衣装屋,要注意（軽視的表現）/職業(QC資料)
第三国人,差別用語/地域差別(差不注DB)
弾左衛門,歴史語/部落差別(差不注DB)
知恵遅れ,差別用語/障害者差別(差不注DB)
中世非人,歴史語/部落差別(差不注DB)
朝鮮征伐,差別用語/地域差別(差不注DB)
長吏ン坊,差別用語/部落差別(差不注DB)
釣りキチ,要注意/障害者差別(差不注DB)
同和運動,差別用語/部落差別(差不注DB)
同和差別,差別用語/部落差別(差不注DB)
同和地区,差別用語/部落差別(差不注DB)
同和部落,差別用語/部落差別(差不注DB)
特殊部落,差別用語/部落差別(差不注DB)
鉢たたき,歴史語/部落差別(差不注DB)
発達障害,OK/障害者差別(差不注DB)
非嫡出子,➡婚外子/性差別(差不注DB)
不可触民,要注意/地域差別(差不注DB)
部落差別,要注意/部落差別(差不注DB)
片手落ち,OK/障害者差別(差不注DB)
北朝鮮籍,誤用/地域差別(差不注DB)
盲ろう者,OK/障害者差別(差不注DB)
両性具有,差別用語/性差別(差不注DB)
Jap,差別用語/地域差別(差不注DB)
Jew,差別用語/地域差別(差不注DB)
アイヌ,OK/人種民族差別(差不注DB)
あほう,不快語/障害(QC資料)
アメ公,➡アメリカ人/人種民族差別(差不注DB)
いざり,差別用語/障害者差別(差不注DB)
イタ公,➡イタリア人/人種民族差別(差不注DB)
エイズ,要注意/病気差別(差不注DB)
オカマ,要注意/性差別(差不注DB)
オナベ,要注意/性差別(差不注DB)
オネエ,要注意/性差別(差不注DB)
ガイジ,差別用語/障害者差別(差不注DB)
クィア,OK/性差別(差不注DB)
クズ屋,差別用語/職業差別(差不注DB)
くず屋,要注意（軽視的表現）/職業(QC資料)
こじき,要注意（軽視的表現）/職業(QC資料)
こぞう,要注意（軽視的表現）/年齢(QC資料)
ゴミ屋,差別用語/職業差別(差不注DB)
サンボ,差別用語/人種民族差別(差不注DB)
じじい,不快語/年齢(QC資料)
ジュー,差別用語/地域差別(差不注DB)
せむし,差別用語/障害者差別(差不注DB)
チーノ,差別用語/地域差別(差不注DB)
チビ助,不快語/容姿(QC資料)
チョン,差別用語/地域差別(差不注DB)
チンク,差別用語/地域差別(差不注DB)
ちんば,差別用語/障害者差別(差不注DB)
てんぼ,差別用語/障害者差別(差不注DB)
どもり,要注意/障害者差別(差不注DB)
ドヤ街,要注意/職業差別(差不注DB)
ニガー,差別用語/人種民族(QC資料)
ネシア,➡インドネシア/地域差別(差不注DB)
バタ屋,差別用語/職業差別(差不注DB)
ばばあ,不快語/年齢(QC資料)
パン屋,OK/職業(QC資料)
びっこ,差別用語/障害者差別(差不注DB)
めくら,差別用語/障害者差別(差不注DB)
メッカ,要注意/宗教差別(差不注DB)
らい病,➡ハンセン病/病気差別(差不注DB)
レパー,差別用語/病気差別(差不注DB)
レプラ,➡ハンセン病/病気差別(差不注DB)
印刷屋,要注意（軽視的表現）/職業(QC資料)
運送屋,要注意（軽視的表現）/職業(QC資料)
運搬屋,要注意（軽視的表現）/職業(QC資料)
音羽屋,OK/人格(QC資料)
下宿屋,OK/職業(QC資料)
下着屋,要注意（軽視的表現）/職業(QC資料)
家政婦,要注意（軽視的表現）/職業(QC資料)
果物屋,OK/職業(QC資料)
菓子屋,OK/職業(QC資料)
看護婦,➡看護師/性差別(差不注DB)
丸坊主,不快語/職業(QC資料)
基地外,差別用語/障害者差別(差不注DB)
奇形児,差別用語/障害者差別(差不注DB)
帰化人,要注意/地域差別(差不注DB)
気が狂,差別用語/障害(QC資料)
気違い,差別用語/障害者差別(差不注DB)
気狂い,差別用語/障害者差別(差不注DB)
技術屋,要注意（軽視的表現）/職業(QC資料)
牛乳屋,OK/職業(QC資料)
居酒屋,OK/職業(QC資料)
狂牛病,➡BSE(牛海綿状脳症)/障害者差別(差不注DB)
狂言的,OK/障害(QC資料)
犬殺し,➡野犬捕獲員/職業差別(差不注DB)
犬神人,歴史語/部落差別(差不注DB)
研ぎ屋,要注意（軽視的表現）/職業(QC資料)
原住民,要注意/人種民族差別(差不注DB)
現地人,差別用語/地域差別(差不注DB)
古着屋,要注意（軽視的表現）/職業(QC資料)
古本屋,OK/職業(QC資料)
孤児院,➡児童養護施設など/旧称(QC資料)
虎キチ,要注意/障害者差別(差不注DB)
後進国,差別用語/地域差別(差不注DB)
